GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SecureChat API,com.securechat.controller,DebugController,0,232,0,16,0,47,0,11,0,3
SecureChat API,com.securechat.controller,ChatRoomController,70,465,22,36,14,86,23,22,1,15
SecureChat API,com.securechat.controller,DemoStatusController.DemoStatus,15,0,0,0,6,0,1,0,1,0
SecureChat API,com.securechat.controller,UserController,84,137,5,11,22,31,10,11,5,8
SecureChat API,com.securechat.controller,OrderController,0,53,0,0,0,15,0,5,0,5
SecureChat API,com.securechat.controller,HomeController,0,5,0,0,0,2,0,2,0,2
SecureChat API,com.securechat.controller,MessageController.SendMessageRequest,0,10,0,0,0,4,0,3,0,3
SecureChat API,com.securechat.controller,MessageController,57,247,12,22,12,56,9,14,0,6
SecureChat API,com.securechat.controller,SecurityController,0,15,0,0,0,6,0,5,0,5
SecureChat API,com.securechat.controller,AuthController,100,21,10,0,17,7,8,4,3,4
SecureChat API,com.securechat.controller,DemoStatusController,148,7,2,0,37,2,2,2,1,2
SecureChat API,com.securechat.controller,HealthController,56,3,0,0,12,1,2,1,2,1
SecureChat API,com.securechat.controller,AuthStatusController,212,4,6,0,41,1,7,1,4,1
SecureChat API,com.securechat.controller,FileController,4,88,2,2,1,24,2,4,0,4
SecureChat API,com.securechat.mapper,LoginDtoMapper,0,13,0,0,0,3,0,2,0,2
SecureChat API,com.securechat.mapper,FileDtoMapper,0,43,0,2,0,12,0,3,0,2
SecureChat API,com.securechat.mapper,AuthDtoMapper,0,51,0,4,0,15,0,5,0,3
SecureChat API,com.securechat.mapper,ChatRoomDtoMapper,2,91,1,9,1,23,1,7,0,3
SecureChat API,com.securechat.mapper,MessageDtoMapper,0,113,0,12,0,31,0,8,0,2
SecureChat API,com.securechat.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
SecureChat API,com.securechat.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
SecureChat API,com.securechat.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
SecureChat API,com.securechat.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
SecureChat API,com.securechat.exception,ResourceNotFoundException,0,9,0,0,0,4,0,2,0,2
SecureChat API,com.securechat.exception,GlobalExceptionHandler,60,202,0,0,12,43,4,16,4,16
SecureChat API,com.securechat.exception,UnauthorizedException,0,9,0,0,0,4,0,2,0,2
SecureChat API,com.securechat.service,AuthService,0,406,5,21,0,86,5,24,0,16
SecureChat API,com.securechat.service,MessageService,67,274,4,6,13,58,6,14,2,13
SecureChat API,com.securechat.service,ChatRoomMemberService,0,198,1,5,0,38,1,17,0,15
SecureChat API,com.securechat.service,UserSyncService,172,289,28,32,41,75,22,18,2,8
SecureChat API,com.securechat.service,OrderService,0,107,0,2,0,23,0,9,0,8
SecureChat API,com.securechat.service,UserService,30,181,8,30,6,44,8,20,0,9
SecureChat API,com.securechat.service,LocalFileStorageService,53,166,10,16,15,37,10,11,0,8
SecureChat API,com.securechat.service,SecurityService,0,50,0,8,0,11,0,9,0,5
SecureChat API,com.securechat.service,AuditService,0,128,0,12,0,34,0,11,0,5
SecureChat API,com.securechat.service,ChatRoomService,0,781,0,104,0,175,0,86,0,34
SecureChat API,com.securechat.service,MessageStreamService.EmitterFactory,0,9,0,0,0,2,0,2,0,2
SecureChat API,com.securechat.service,RefreshTokenService,10,210,1,19,3,53,1,18,0,9
SecureChat API,com.securechat.service,MessageStreamService,18,109,1,7,1,28,5,7,4,4
SecureChat API,com.securechat.service,FileService,0,190,0,6,0,48,0,11,0,8
SecureChat API,com.securechat.service,MessageService.PaginationRequest,6,32,0,4,2,8,2,6,2,4
SecureChat API,com.securechat,SecureChatApplication,0,38,0,0,0,11,0,3,0,3
SecureChat API,com.securechat.dto,RegisterRequest,0,36,0,0,0,12,0,8,0,8
SecureChat API,com.securechat.dto,RoleAssignmentRequest,0,26,0,4,0,8,0,6,0,4
SecureChat API,com.securechat.dto,FileUploadRequest,0,45,0,0,0,13,0,13,0,13
SecureChat API,com.securechat.dto,AuthResponse.UserInfo,0,21,0,0,0,9,0,6,0,6
SecureChat API,com.securechat.dto,InvoiceDto,0,3,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.dto,AuthRequest,9,36,0,0,4,12,1,8,1,8
SecureChat API,com.securechat.dto,MessageListDto,0,21,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.dto,ChatRoomSummaryDto,0,15,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.dto,ChatRoomCreateRequest,15,31,0,0,6,14,1,9,1,9
SecureChat API,com.securechat.dto,ChatRoomDetailDto,0,27,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.dto,ChatRoomUpdateDto,0,15,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.dto,MemberDto,0,15,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.dto,ChatRoomUpdateRequest,15,31,0,0,6,14,1,9,1,9
SecureChat API,com.securechat.dto,ErrorResponse,0,45,0,0,0,19,0,8,0,8
SecureChat API,com.securechat.dto,LoginRequest,0,26,0,0,0,9,0,6,0,6
SecureChat API,com.securechat.dto,OrderDto,0,57,0,10,0,7,0,8,0,3
SecureChat API,com.securechat.dto,MessageResponse,0,66,0,0,0,19,0,19,0,19
SecureChat API,com.securechat.dto,AuthResponse,0,67,0,0,0,19,0,5,0,5
SecureChat API,com.securechat.entity,File,21,63,2,0,7,19,6,17,5,17
SecureChat API,com.securechat.entity,FilePermission,0,4,0,0,0,2,0,1,0,1
SecureChat API,com.securechat.entity,AdminAction,0,66,0,2,0,20,0,19,0,18
SecureChat API,com.securechat.entity,ChatRoom,32,70,0,0,10,21,9,15,9,15
SecureChat API,com.securechat.entity,User.UserStatus,0,21,0,0,0,4,0,1,0,1
SecureChat API,com.securechat.entity,FilePermission.PermissionType,0,21,0,0,0,2,0,1,0,1
SecureChat API,com.securechat.entity,Message.MessageType,0,21,0,0,0,4,0,1,0,1
SecureChat API,com.securechat.entity,MessageAuditLog,0,80,0,2,0,24,0,23,0,22
SecureChat API,com.securechat.entity,User.UserRole,0,15,0,0,0,3,0,1,0,1
SecureChat API,com.securechat.entity,ChatRoomMember,4,153,1,5,1,61,1,33,0,31
SecureChat API,com.securechat.entity,User,37,194,0,4,9,53,9,40,9,38
SecureChat API,com.securechat.entity,AuditLog,7,73,2,0,3,31,2,21,1,21
SecureChat API,com.securechat.entity,MessageAuditLog.AuditAction,0,27,0,0,0,5,0,1,0,1
SecureChat API,com.securechat.entity,AdminAction.AdminActionType,0,57,0,0,0,10,0,1,0,1
SecureChat API,com.securechat.entity,Message,11,125,3,5,3,38,3,31,0,30
SecureChat API,com.securechat.entity,RefreshToken,7,73,2,4,3,20,2,20,1,18
SecureChat API,com.securechat.config,DataInitializer,0,46,0,2,0,12,0,3,0,2
SecureChat API,com.securechat.config,SecurityConfig,0,156,0,8,0,32,0,15,0,11
SecureChat API,com.securechat.config,DemoLoggingFilter,39,118,12,4,10,22,8,3,0,3
SecureChat API,com.securechat.config,OpenAPIConfig,0,58,0,0,0,20,0,2,0,2
SecureChat API,com.securechat.config,SecurityConfigOauth.new Converter() {...},89,0,14,0,18,0,10,0,3,0
SecureChat API,com.securechat.config,RateLimitingFilter,0,131,0,12,0,35,0,13,0,7
SecureChat API,com.securechat.config,GatewayHeaderAuthenticationFilter,6,94,3,15,2,23,3,11,0,5
SecureChat API,com.securechat.config,SecurityBeans,0,3,0,0,0,1,0,1,0,1
SecureChat API,com.securechat.config,SecurityConfigOauth,174,0,4,0,33,0,14,0,12,0
SecureChat API,com.securechat.util,AuthUtil,1,210,4,30,0,54,4,21,0,8
SecureChat API,com.securechat.util,InputSanitizer,0,27,0,4,0,7,0,6,0,4
SecureChat API,com.securechat.model,Order,12,38,0,0,6,14,3,8,3,8
